Location_ID,Location_Ancient,Location_Modern,Latitude,Longitude,Coordinates_Uncertain,Harbour,Sea,River,River_Navigable,Modern_Province,Topography,Comment_Remarks,BA_Map_Reference,Pleiades_URL
1,Aquileia,Aquileia,45.46588,13.22404,0,1,Adriatic,Natisone,Navigable,Friuli-Venezia_Giulia,Coastal_Plain,,19_F4,https://pleiades.stoa.org/places/187290
2,Altinum,Altino,45.55713,12.39076,0,1,Adriatic,Not_Available,Not_Available,Veneto,Coastal_Plain,,40_C1,https://pleiades.stoa.org/places/393374
3,Ravenna,Ravenna,44.41571,12.1966,0,1,Adriatic,Po,Navigable,Emilia_Romagna,Coastal_Plain,,40_C4,https://pleiades.stoa.org/places/393480
4,Ariminum,Rimini,44.05895,12.56319,0,1,Adriatic,Marecchia,Not_Available,Emilia_Romagna,Coastal_Plain,,40_D4,https://pleiades.stoa.org/places/393379
5,Patavium,Padua,45.40956,11.87697,0,1,Not_Available,Brenta,Navigable,Veneto,Coastal_Plain,,40_B2,https://pleiades.stoa.org/places/393473
6,Opitergium,Oderzo,45.78121,12.49367,0,1,Not_Available,Livenza,Navigable,Veneto,Coastal_Plain,,40_D1,https://pleiades.stoa.org/places/393459
7,Vicetia,Vicenza,45.54577,11.54027,0,0,Not_Available,Bacchiglione,Navigable,Veneto,Coastal_Plain,,40_B1,https://pleiades.stoa.org/places/393513
8,Ateste,Este,45.22773,11.65661,0,0,Not_Available,Adige,Navigable,Veneto,Coastal_Plain,,40_B2,https://pleiades.stoa.org/places/393382
9,Forum_Livii,Forlì,44.22127,12.0427,0,0,Not_Available,Montone,Not_Available,Emilia_Romagna,Coastal_Plain,,40_C4,https://pleiades.stoa.org/places/393426
10,Mutina,Modena,44.64705,10.92522,0,0,Not_Available,Secchia,Navigable,Emilia_Romagna,Valley_Floor,,39_H4,https://pleiades.stoa.org/places/383715
11,Classis,Classe,44.39529,12.21938,0,1,Adriatic,Not_Available,Not_Available,Emilia_Romagna,Coastal_Plain,,40_C4,https://pleiades.stoa.org/places/393421
12,Verona,Verona,45.44212,10.99573,0,0,Not_Available,Adige,Navigable,Veneto,River_Valley,,38_H3,https://pleiades.stoa.org/places/383816
13,Tridentum,Trento,46.06676,11.11913,0,0,Not_Available,Adige,Navigable,Trentino-Alto_Adige,River_Valley,,39_I1,https://pleiades.stoa.org/places/383804
14,Brixia,Brescia,45.53977,10.22313,0,1,Not_Available,Oglio,Navigable,Lombardy,Foothills,,39_G2,https://pleiades.stoa.org/places/383603
15,Bedriacum,Calvatone,45.12953,10.44234,0,0,Not_Available,Oglio,Navigable,Lombardy,Valley_Floor,,39_G3,https://pleiades.stoa.org/places/383584
16,Cremona,Cremona,45.13363,10.02614,0,0,Not_Available,Po,Navigable,Lombardy,Valley_Floor,,39_G3,https://pleiades.stoa.org/places/383628
17,Regium_Lepidum,Reggio_Emilia,44.69813,10.63072,0,0,Not_Available,Crostolo,Not_Available,Emilia_Romagna,Valley_Floor,,39_H4,https://pleiades.stoa.org/places/383755
18,Mediolanum,Milan,45.46374,9.18806,0,1,Not_Available,Lambro,Navigable,Lombardy,Valley_Floor,,39_E3,https://pleiades.stoa.org/places/383706
19,Novum_Comum,Como,45.81192,9.08578,0,0,Not_Available,Not_Available,Not_Available,Lombardy,Foothills,,39_E2,https://pleiades.stoa.org/places/383627
20,Libarna,Libarna,44.71489,8.86105,0,0,Not_Available,Scrivia,Navigable,Piedmont,River_Valley,,39_D4,https://pleiades.stoa.org/places/383694
21,Novaria,Novara,45.44508,8.61866,0,0,Not_Available,Not_Available,Not_Available,Piedmont,Valley_Floor,,39_D3,https://pleiades.stoa.org/places/383717
22,Vercellae,Vercelli,45.32109,8.42637,0,1,Not_Available,Sesia,Navigable,Piedmont,Valley_Floor,,39_C3,https://pleiades.stoa.org/places/383815
23,Industria,Industria,45.1592,8.01864,0,1,Not_Available,Po,Navigable,Piedmont,Valley_Floor,,39_C3,https://pleiades.stoa.org/places/383677
24,Aquae_Statiellae,Acqui_Terme,44.67553,8.47065,0,0,Not_Available,Bormida_di_Spigno,Not_Available,Piedmont,River_Valley,,39_C4,https://pleiades.stoa.org/places/383574
25,Augusta_Bagiennorum,Bene_Vagienna,44.55667,7.85034,0,0,Not_Available,Not_Available,Not_Available,Piedmont,Foothills,,39_B4,https://pleiades.stoa.org/places/383578
26,Alba_Pompeia,Alba,44.70083,8.03524,0,0,Not_Available,Tanaro,Navigable,Piedmont,River_Valley,,39_C4,https://pleiades.stoa.org/places/383564
27,Eporedia,Ivrea,45.4666,7.87594,0,1,Not_Available,Dora_Baltea,Navigable,Piedmont,River_Valley,,39_B3,https://pleiades.stoa.org/places/383642
28,Civitas_Camunnorum,Cividate_Camuno,45.94345,10.2786,0,1,Not_Available,Oglio,Navigable,Piedmont,River_Valley,,39_G2,https://pleiades.stoa.org/places/383617
29,Luna,Luna,44.06516,10.02416,0,1,Ligurian_Sea,Magra,Not_Available,Liguria,Coastal_Plain,,41_C1,https://pleiades.stoa.org/places/403235
30,Portus_Maurici,Impera,43.87368,8.015133,0,1,Ligurian_Sea,Not_Available,Not_Available,Liguria,Coastal_Plain,,16_F2,https://pleiades.stoa.org/places/157908
31,Clastidium,Casteggio,45.011113,9.123457,0,0,Not_Available,Torrente_Coppa,Not_Available,Lombardy,Valley_Floor,,39_E3,https://pleiades.stoa.org/places/383618
32,Laus_Pompeia,Lodi_Vecchio,45.303456,9.418776,0,0,Not_Available,Lambro,Navigable,Lombardy,Valley_Floor,,39_E3,https://pleiades.stoa.org/places/383691
